datetime,temp,humidity,precip,snow,pressure,preciptype,conditions,description
2023-01-01,0.1,82.0,0.0,0.8,1009.8,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
2023-01-02,-2.0,97.6,1.401,9.0,1007.8,"rain, snow","Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.
2023-01-03,-5.5,91.3,0.02,0.0,1008.4,snow,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.
2023-01-04,-5.4,71.2,0.033,0.0,1014.1,snow,Snow,Clear conditions throughout the day with afternoon snow.
2023-01-05,-5.0,63.4,0.0,0.0,1017.2,,Clear,Clear conditions throughout the day.
2023-01-06,-0.3,58.9,0.0,0.0,1015.2,,Partially cloudy,Partly cloudy throughout the day.
2023-01-07,-0.3,69.8,0.0,0.0,1023.1,,Clear,Clear conditions throughout the day.
2023-01-08,1.5,55.2,0.0,0.0,1018.8,,Clear,Clear conditions throughout the day.
2023-01-09,5.6,43.4,0.0,0.0,1014.9,,Clear,Clear conditions throughout the day.
2023-01-10,6.1,48.3,0.0,0.0,1008.0,,Clear,Clear conditions throughout the day.
2023-01-11,1.1,88.0,0.0,1.0,1011.9,"rain, snow",Overcast,Cloudy skies throughout the day.
2023-01-12,-0.2,85.9,0.0,0.0,1026.6,,Clear,Clear conditions throughout the day.
2023-01-13,2.1,61.2,0.0,0.0,1022.6,rain,Clear,Clear conditions throughout the day.
2023-01-14,8.5,41.9,0.0,0.0,1009.2,rain,Clear,Clear conditions throughout the day.
2023-01-15,3.9,60.3,0.0,0.3,999.9,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
2023-01-16,1.4,75.7,0.0,0.0,1002.1,"rain, snow",Partially cloudy,Becoming cloudy in the afternoon.
2023-01-17,-0.8,80.3,1.028,15.8,1004.6,snow,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.
2023-01-18,-2.4,93.2,1.8,22.0,1007.0,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.
2023-01-19,-2.8,53.9,0.131,0.0,1013.5,"rain, snow","Snow, Rain",Clear conditions throughout the day with morning rain or snow.
2023-01-20,-3.6,61.0,0.0,1.0,1019.6,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
2023-01-21,-3.3,66.7,0.017,0.2,1018.1,"rain, snow","Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.
2023-01-22,-0.7,53.5,0.0,0.0,1012.2,,Partially cloudy,Partly cloudy throughout the day.
2023-01-23,-1.6,78.0,0.04,3.6,1018.0,"rain, snow","Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.
2023-01-24,-2.6,71.9,0.0,1.0,1016.9,"rain, snow",Partially cloudy,Partly cloudy throughout the day.
